number,value,params_batch_size,params_crop_scale_min,params_hflip_p,params_label_smoothing,params_lr,params_model_name,params_momentum,params_optimizer,params_rot_deg,params_scheduler,params_vflip_p,params_weight_decay,state
0,0.5807920597044747,16,0.7863649934414201,0.6994655844802531,0.003087674144370367,1.4347159517201392e-05,ResNet50,0.8756766313794807,SGD,20,plateau,0.08493564427131046,0.0029154431891537554,COMPLETE
1,,64,0.7630103185970559,0.5645269111408631,0.08886218532930637,0.00017018418817029164,EfficientNet-B0,0.9828439752154666,SGD,5,cosine,0.06820964947491662,0.0013826232179369874,FAIL
2,0.5807920597044747,16,0.7863649934414201,0.6994655844802531,0.003087674144370367,1.4347159517201392e-05,ResNet50,0.8756766313794807,SGD,20,plateau,0.08493564427131046,0.0029154431891537554,COMPLETE
3,0.863780677766999,64,0.7630103185970559,0.5645269111408631,0.08886218532930637,0.00017018418817029164,EfficientNet-B0,0.9828439752154666,SGD,5,cosine,0.06820964947491662,0.0013826232179369874,COMPLETE
4,0.5339162982264567,64,0.9439169255529116,0.5280261676059679,0.04675666141341164,1.2382649697023537e-05,EfficientNet-B0,0.958518595270556,SGD,13,cosine,0.07394178221021082,0.004337920697490943,COMPLETE
5,0.8034796845621075,64,0.7649101287359542,0.2845545349848576,0.042140176453107116,0.00011195109511439825,ResNet50,,AdamW,13,cosine,0.32087879230161587,1.2172958098369984e-05,COMPLETE
6,0.7088661232585671,64,0.8150366644053494,0.2381350101716142,0.09349471902413369,1.5843250684388674e-05,EfficientNet-B0,0.952144864967329,SGD,10,plateau,0.12439292868626489,2.7155819552829413e-05,COMPLETE
7,0.873647203185597,64,0.8517141382329405,0.5818462467582683,0.016183714048995667,0.00021514908471959417,EfficientNet-B0,,AdamW,5,cosine,0.12574239243053068,0.00012329098365270507,COMPLETE
8,0.8904130786861296,32,0.9114880310328125,0.7355353990939868,0.12055081153486716,0.003230175187384699,ResNet50,0.9754527819892891,SGD,7,cosine,0.2157368967662603,0.0017079750342958238,COMPLETE
9,0.8952546885386315,16,0.8227259204758588,0.5112743730460196,0.14143645558687787,0.00013383810441801812,EfficientNet-B0,0.9860494915809345,SGD,10,cosine,0.28120758355807113,7.7344821566468e-06,COMPLETE
10,0.66963779412089,32,0.8844271094811756,0.7913902724663606,0.021734230813683465,1.3770179626254448e-05,BasicCNN,,AdamW,12,cosine,0.09682210860460017,1.3019246714361584e-05,PRUNED
11,0.8987696707308159,16,0.8351700393608056,0.3952159987827709,0.13614971929237762,0.0013932420167442994,BasicCNN,,AdamW,16,plateau,0.3813822621784613,1.1799062523159305e-06,COMPLETE
12,0.9038462197991457,16,0.8367309772002277,0.38072214716008546,0.14862880636989553,0.0010274221702353046,BasicCNN,,AdamW,16,plateau,0.38755254662215144,1.171460266736736e-06,COMPLETE
13,0.8207846092491996,16,0.8552576131558471,0.385818181453742,0.1494024797621153,0.0017520238226935748,BasicCNN,,AdamW,18,plateau,0.3997449754566205,1.3625220514033534e-06,PRUNED
14,0.9198815590929448,16,0.832436113459282,0.39038580780572624,0.12120990516707464,0.0009595228648318066,BasicCNN,,AdamW,16,plateau,0.3896512462842128,1.1286551377492831e-06,COMPLETE
15,0.9355179396269067,16,0.878472411227899,0.4034359163239729,0.1145318224340243,0.0006110798439007161,BasicCNN,,AdamW,16,plateau,0.33057391974389205,3.146495141775938e-06,COMPLETE
16,0.9449677787170114,16,0.88996429694541,0.44411507745016837,0.11240281581422734,0.0005198502997351731,BasicCNN,,AdamW,16,plateau,0.3109505893549179,3.489763787617051e-06,COMPLETE
17,0.9477281005337148,16,0.8887429900128088,0.4411683764443184,0.10720997050650931,0.00045648241414689747,BasicCNN,,AdamW,18,plateau,0.27920018665096646,0.00010644003960788538,COMPLETE
18,0.830263481999308,32,0.923691207913626,0.45911467159980623,0.06435418520250896,0.00037779081224443103,BasicCNN,,AdamW,18,plateau,0.2279007766976773,0.00018374148935451572,PRUNED
19,0.7713092494058975,16,0.8926118001579042,0.30370025651617233,0.09895752928880011,4.207683054022319e-05,BasicCNN,,AdamW,18,plateau,0.26205398596153895,4.753694962385717e-05,PRUNED
20,0.9355201690409156,16,0.8707054153041963,0.6009958677414302,0.07207856903503633,0.00040870097068153885,BasicCNN,,AdamW,14,plateau,0.16815080280290495,0.0006387917167742634,COMPLETE
21,0.7478231998308914,32,0.9045549211103594,0.4803626500402188,0.10769909379365158,5.727226540199978e-05,BasicCNN,,AdamW,15,plateau,0.3250842282309645,0.0003405959916750553,PRUNED
22,0.843022714649666,16,0.8720154094787328,0.6205766424764679,0.06933641889168883,0.00031175446840895336,BasicCNN,,AdamW,14,plateau,0.15777990569558664,0.000757704865802123,PRUNED
23,0.829172275622167,16,0.8674417788527568,0.6406421172356905,0.07982122894253889,0.0005757732705286288,BasicCNN,,AdamW,11,plateau,0.1912108321984976,0.008842375434679361,PRUNED
24,0.9542207682412145,16,0.9234952323854106,0.4392280402161685,0.05365389799008724,0.000505026064865131,BasicCNN,,AdamW,19,plateau,0.01013143811156092,0.00042739184421278486,COMPLETE
25,0.9626304424232939,16,0.9428716968430979,0.44818470953199085,0.05334935420869677,0.0006872648755759407,BasicCNN,,AdamW,19,plateau,0.024232206017950203,4.7788104517506524e-05,COMPLETE
26,0.8191369514482475,16,0.9476410449461928,0.34918881363534804,0.048468972727816875,0.002843811656695943,BasicCNN,,AdamW,19,plateau,0.0036428419404049657,5.921226733652106e-05,PRUNED
27,0.929446651622378,16,0.9270549852529122,0.4485083080867657,0.05686146046750615,0.0020156362607165012,BasicCNN,,AdamW,19,plateau,0.0030522868642890756,0.0002517472058505706,COMPLETE
28,0.9423787274677173,16,0.9269423418487635,0.32576191862847403,0.031098802226004092,0.0008669066395236413,BasicCNN,,AdamW,18,plateau,0.03357034988577887,9.658999634755221e-05,COMPLETE
29,0.7751020200744521,32,0.9064084199733277,0.2032751452263879,0.08110041984776753,8.385314516777725e-05,ResNet50,,AdamW,20,plateau,0.03386902812727915,3.0467873184878828e-05,PRUNED
30,0.8377125846779503,16,0.9330308469227219,0.540966405020026,0.036527183171815754,0.00025960601249887,BasicCNN,,AdamW,19,plateau,0.04169950603911265,0.000542223875922762,PRUNED
31,0.8748231405453104,16,0.914265308692919,0.4915593265190999,0.05527487957752564,0.0008952813494261397,ResNet50,,AdamW,17,plateau,0.25164632532160464,9.220335399728183e-05,PRUNED
32,0.841586620016554,16,0.8951844592327066,0.45601473743435644,0.12889678501857665,0.0005988720739470894,BasicCNN,,AdamW,20,plateau,0.29678570420462835,3.029507217386097e-06,PRUNED
33,0.8301305956104058,16,0.9376893289949494,0.43192859190334904,0.10421054578386706,0.00045964459361660384,BasicCNN,,AdamW,19,plateau,0.3597077393078033,0.00031507685340799007,PRUNED
34,0.8375002559761231,16,0.8899306704171903,0.4263340120401376,0.08553744102255624,0.00021993322221904114,BasicCNN,,AdamW,17,plateau,0.2986366545330258,5.049193855886114e-06,PRUNED
35,0.7580553142136128,16,0.9495559932213022,0.543059552603246,0.061125598960304534,0.0013001149234806635,BasicCNN,0.9160408649026479,SGD,17,plateau,0.05412854143677141,2.2956010297358552e-05,PRUNED
36,0.8992897707163185,64,0.9144476224930008,0.3526228341899199,0.09370327827379969,0.0006761394721118252,EfficientNet-B0,,AdamW,20,plateau,0.0955031827492307,0.0012571332086912111,COMPLETE
37,0.6987951080861025,16,0.7925732704420312,0.48999967218140134,0.004209839985083091,0.0001676173430941354,ResNet50,0.850681606235394,SGD,15,plateau,0.3537179812675965,0.0001650098276922023,PRUNED
38,0.8095649564083585,64,0.9000113393996385,0.5193553243388075,0.04821691169604431,0.004181894831369678,BasicCNN,,AdamW,17,cosine,0.25023634092324376,5.484150055260717e-05,PRUNED
39,0.8633154120904671,16,0.9209212310506626,0.2693459812043846,0.03338697407992962,0.0002742713131138212,EfficientNet-B0,0.9239624110142287,SGD,19,plateau,0.1279894333969534,1.0785207713803466e-05,PRUNED
40,0.8303338689329086,64,0.9346494074229676,0.5721137841659609,0.11150014304555358,0.0004644486189967839,BasicCNN,,AdamW,15,cosine,0.016952410633548905,0.0030018301194315003,PRUNED
41,0.7518391727027781,16,0.8603648258074457,0.4213429272968551,0.12168065540094357,0.00010717174513069314,ResNet50,0.9119749210592621,SGD,8,plateau,0.06280767180299453,1.7215130662237544e-05,PRUNED
